A,B,C,D
a3970,b3033,c3932,d144
a3427,b1496,c2157,d791
a1624,b1662,c4288,d22
a2936,b3177,c2643,d2465
a4664,b3623,c1722,d1000
a3488,b1958,c1588,d3836
a513,b731,c2711,d632
a3318,b1446,c4040,d4189
a202,b982,c4317,d1237
a510,b1015,c3412,d2812
a398,b482,c994,d1021
a3582,b810,c284,d2894
a2192,b681,c1694,d2490
a651,b146,c1808,d3289
a3387,b1255,c3293,d1556
a159,b3452,c1839,d3855
a3405,b1308,c2624,d977
a2491,b58,c1632,d84
a1210,b1848,c1269,d2538
a4618,b2521,c993,d3378
a4853,b3216,c3446,d2408
a3493,b2597,c4096,d4431
a4298,b1470,c2453,d3348
a480,b2031,c4638,d4129
a3349,b2563,c644,d4392
a1877,b274,c2373,d2170
a2198,b1403,c2100,d3712
a719,b342,c1215,d4227
a3467,b1205,c3816,d1284
a2889,b1383,c2419,d1761
a1846,b2480,c2518,d2033
a676,b3667,c756,d144
a157,b2397,c1747,d2054
a1463,b3432,c2624,d3385
a3920,b3167,c3816,d3869
a1191,b1623,c2424,d1394
a88,b1364,c3045,d3510
a1006,b3292,c1326,d3752
a3286,b655,c1910,d4018
a2003,b923,c2165,d3288
a1794,b955,c4185,d1840
a3024,b3499,c3508,d4282
a1032,b3128,c3058,d3580
a4189,b3387,c4118,d1048
a2412,b1944,c4465,d2938
a2883,b3161,c3504,d3957
a753,b672,c2536,d744
a1648,b740,c4126,d4422
a1736,b588,c356,d2757
a3849,b1959,c3599,d4368
a911,b225,c1252,d3993
a1687,b675,c2412,d1002
a41,b2372,c4110,d2903
a3839,b1865,c3838,d3425
a4316,b2277,c2158,d3574
a554,b2973,c1017,d540
a4064,b3120,c2699,d1844
a3329,b812,c3002,d1639
a4150,b2903,c289,d766
a2259,b925,c2452,d1438
a1352,b2331,c2116,d3223
a105,b2580,c287,d3115
a3853,b904,c2927,d1615
a1936,b1619,c1983,d1349
a4323,b1941,c2756,d3432
a52,b3640,c3543,d1759
a1960,b2790,c4547,d3475
a4424,b2823,c954,d51
a1374,b687,c3227,d2375
a2016,b3278,c25,d3184
a1311,b2312,c2788,d1444
a2686,b1277,c2903,d1937
a4402,b1727,c2807,d2619
a3233,b63,c1135,d1997
a3486,b1539,c4212,d2790
a1979,b30,c12,d1649
a3500,b703,c2709,d794
a2099,b1202,c1382,d2640
a2071,b160,c2667,d115
a2445,b1300,c3751,d422
a3738,b1923,c262,d1571
a2316,b3203,c655,d1272
a591,b1853,c3129,d2909
a3322,b2144,c4640,d2751
a2163,b2031,c3347,d4069
a1984,b841,c1774,d1494
a1712,b3286,c2120,d3482
a1025,b1212,c1054,d291
a3158,b2361,c4438,d712
a1389,b1444,c1198,d2816
a1222,b976,c357,d2655
a2005,b1820,c4686,d4362
a3154,b794,c992,d4219
a770,b552,c3507,d363
a4213,b2021,c25,d3809
a2421,b838,c2091,d1098
a2152,b2413,c2632,d2340
a2143,b2812,c2477,d1525
a2589,b362,c1884,d1115
a1430,b3340,c1784,d2881
a1876,b2899,c3617,d1930
a4856,b1684,c3247,d1713
a1000,b3215,c2369,d1271
a2263,b2832,c1057,d616
a4188,b3308,c3484,d4332
a3222,b2193,c708,d2461
a1371,b2059,c2031,d3147
a3962,b2677,c4586,d1254
a1960,b1077,c2312,d481
a307,b850,c18,d2406
a4044,b902,c73,d3137
a1889,b1228,c1265,d3104
a163,b2201,c4368,d4102
a32,b2301,c4509,d1505
a3640,b3562,c3340,d1249
a2452,b2676,c1875,d4333
a3242,b2343,c762,d3026
a922,b2559,c2886,d4149
a1795,b2516,c907,d1567
a4328,b2968,c3656,d4399
a2375,b2994,c935,d2546
a2041,b1056,c2894,d1894
a1832,b1852,c381,d2519
a435,b1525,c3793,d408
a4735,b3120,c2831,d2989
a1219,b1957,c4762,d2074
a4079,b2263,c3881,d3999
a3781,b1432,c1977,d1251
a1323,b1858,c210,d3108
a4274,b1368,c2163,d2818
a3944,b2831,c4610,d3490
a3213,b2295,c2739,d3364
a1526,b127,c1925,d1220
a2828,b1787,c204,d634
a2969,b1800,c2421,d552
a3057,b1209,c1519,d394
a1929,b350,c840,d2838
a3895,b2348,c3388,d3772
a1169,b3236,c2122,d2359
a3384,b1874,c1913,d3678
a4520,b1726,c2174,d1535
a2882,b1724,c1884,d1897
a149,b3085,c2209,d3031
a1770,b1914,c1046,d2826
a4586,b3131,c1031,d912
a4549,b2937,c2923,d4318
a2909,b1041,c1750,d1149
a3899,b2699,c3002,d792
a1117,b1084,c1288,d3449
a1033,b3475,c4749,d2327
a1478,b2757,c725,d1053
a557,b602,c1341,d919
a2071,b3537,c2210,d1021
a1531,b3574,c2614,d1669
a2493,b1690,c803,d506
a564,b2827,c1217,d1903
a4763,b641,c2929,d1715
a1376,b1151,c4614,d1954
a2419,b1925,c1841,d2545
a1929,b673,c2852,d3769
a4489,b1995,c3984,d948
a2111,b744,c1547,d252
a2428,b249,c3131,d3758
a4712,b3609,c4039,d4101
a1470,b2867,c4372,d3550
a3189,b3494,c19,d223
a353,b379,c384,d4267
a4108,b3242,c1681,d4412
a3824,b915,c2112,d1327
a596,b2053,c210,d3196
a3622,b2507,c3640,d189
a1283,b3724,c215,d1761
a1359,b1568,c494,d2538
a4051,b298,c2788,d4237
a747,b3713,c3389,d1529
a312,b3540,c4091,d2910
a3834,b1701,c4524,d302
a169,b517,c4770,d1509
a3471,b1758,c502,d2180
a1666,b2430,c1696,d4245
a1842,b1815,c536,d2740
a494,b2051,c1343,d272
a2390,b1748,c3072,d3703
a2668,b1352,c2879,d2905
a1151,b2409,c304,d4382
a4450,b676,c1917,d4240
a3724,b1989,c3525,d4376
a618,b2415,c1465,d688
a1036,b540,c3236,d4277
a1546,b822,c1205,d959
a1021,b152,c1434,d18
a1071,b2317,c835,d3774
a1505,b1399,c4605,d3439
a2428,b2094,c906,d2442
a1468,b113,c331,d2512
a4275,b3234,c2521,d3889
a803,b1316,c2395,d4370
a1199,b1997,c866,d2746
a4875,b74,c745,d267
a584,b1196,c4429,d4158
a977,b442,c695,d3947
a2677,b774,c1408,d2271
a498,b3211,c3978,d2744
a3290,b1173,c4065,d3649
a2867,b3479,c28,d2330
a555,b583,c2986,d1109
a1705,b430,c2306,d1361
a22,b1286,c1965,d3949
a279,b2634,c3553,d3578
a933,b32,c4038,d4172
a124,b129,c1370,d3919
a672,b276,c1451,d49
a3171,b1246,c1371,d4275
a2770,b3646,c1912,d2954
a2893,b2005,c4569,d3839
a4460,b1991,c1419,d1176
a2981,b2691,c2328,d2231
a3861,b109,c1499,d1376
a4517,b1555,c858,d3704
a616,b284,c1251,d1408
a604,b3594,c1878,d3024
a3046,b2651,c417,d1526
a4409,b2866,c3293,d2510
a4482,b3575,c2032,d489
a2325,b2472,c2997,d723
a1693,b439,c4439,d1660
a1091,b2275,c3112,d1075
a3834,b3310,c2427,d2179
a2713,b2651,c3237,d1176
a661,b3235,c2259,d1741
a4576,b1758,c2603,d3050
a3868,b1128,c2991,d565
a1309,b3058,c1904,d4345
a880,b262,c4730,d2378
a4370,b2494,c2929,d2362
a2123,b718,c3679,d745
a4564,b3227,c2947,d206
a1185,b3486,c122,d3670
a1613,b3535,c2181,d1227
a1218,b3094,c738,d2338
a770,b3684,c3407,d2520
a3947,b2810,c400,d2764
a361,b1348,c2484,d1257
a4613,b2187,c1250,d3616
a3173,b254,c4560,d4109
a2495,b118,c123,d2781
a2479,b3247,c1389,d3565
a2765,b1071,c1242,d684
a3997,b3260,c962,d2666
a4244,b64,c4252,d1947
a473,b1051,c2219,d714
a2804,b368,c3510,d255
a94,b146,c3834,d827
a2124,b3601,c4746,d3007
a1395,b871,c2166,d143
a773,b322,c359,d1370
a226,b1693,c2220,d2554
a2439,b940,c1664,d2607
a1050,b585,c3107,d2857
a905,b2832,c3026,d2809
a2152,b887,c2901,d1228
a1724,b2980,c3195,d3247
a2311,b768,c961,d4431
a3038,b1684,c3224,d387
a3029,b805,c4444,d2743
a3592,b353,c2093,d4236
a94,b1325,c1347,d2869
a634,b697,c3309,d4210
a1201,b1426,c506,d900
a3708,b192,c325,d3135
a1765,b468,c2056,d3087
a502,b2019,c3220,d588
a536,b661,c4321,d3485
a877,b1138,c1992,d2076
a2029,b3449,c811,d972
a3024,b790,c3033,d809
a2408,b362,c1792,d3544
a2511,b1970,c4524,d3303
a4077,b1293,c1902,d4178
a1191,b832,c1932,d850
a2917,b642,c2131,d623
a3600,b2738,c4158,d3623
a2772,b3553,c455,d2693
a4386,b1650,c212,d457
a236,b3285,c2532,d46
a1697,b2875,c3604,d1341
a1934,b449,c467,d3123
a2728,b2206,c8,d3085
a3844,b1889,c131,d3572
a1822,b835,c4524,d2190
a2483,b2823,c325,d3919
a847,b3177,c2767,d1552
a3316,b495,c3963,d4244
a1202,b3555,c912,d1623
a2353,b1724,c4257,d2461
a895,b671,c1221,d2261
a567,b218,c3207,d2153
a4102,b617,c2878,d3082
a4752,b2544,c4747,d4245
a3333,b1491,c4684,d2118
a2187,b238,c3631,d628
a710,b2614,c3451,d4163
a2769,b2615,c317,d3861
a3808,b156,c3754,d665
a2385,b2459,c4168,d912
a4539,b1047,c4359,d1330
a700,b501,c2967,d3803
a2327,b2829,c1147,d3837
a3747,b3726,c4018,d4159
a4664,b2682,c4700,d4270
a2227,b2544,c276,d4044
a4427,b3123,c4322,d1202
a4509,b2101,c912,d1553
a928,b929,c1343,d602
a2701,b2447,c1859,d951
a4523,b3205,c37,d3814
a335,b2632,c1517,d974
a411,b3038,c3087,d939
a1391,b3373,c2526,d3770
a1650,b1121,c179,d3488
a2698,b1965,c1051,d3240
a2632,b220,c798,d2326
a2032,b1832,c842,d223
a4387,b935,c183,d1794
a3639,b610,c59,d3058
a2296,b2069,c2265,d2875
a3944,b1023,c83,d3245
a691,b3253,c178,d3441
a1904,b2914,c1926,d383
a961,b3247,c2684,d1931
a2025,b1651,c296,d580
a1767,b1155,c1746,d2160
a4669,b2829,c3755,d2451
a1850,b176,c3191,d103
a2703,b1135,c3906,d2857
a1823,b3503,c1490,d45
a2522,b1740,c3701,d4245
a2885,b179,c4015,d1437
a792,b2940,c3439,d2637
a445,b822,c393,d2379
a2836,b1845,c1253,d2025
a3174,b810,c1067,d1407
a2765,b1788,c4767,d102
a541,b2766,c1136,d443
a1422,b3732,c1491,d3136
a4870,b848,c4036,d490
a2964,b2516,c3543,d3331
a2927,b3114,c997,d265
a4062,b2696,c1156,d3494
a1625,b2200,c3215,d1562
a887,b3384,c2913,d2239
a2550,b118,c3812,d2492
a29,b3098,c741,d2657
a4532,b2806,c1728,d1074
a1862,b1435,c3799,d2677
a4181,b2674,c1055,d3227
a122,b454,c537,d3336
a334,b3165,c1084,d668
a62,b2787,c2455,d855
a698,b30,c347,d1030
a4349,b935,c4705,d2569
a3173,b2934,c621,d3745
a2043,b1768,c1609,d724
a3545,b39,c977,d607
a1886,b526,c2403,d1608
a161,b3756,c3454,d3624
a4529,b687,c4605,d193
a688,b745,c2978,d2052
a2065,b354,c2203,d2728
a168,b2014,c3194,d750
a3688,b1453,c477,d977
a1291,b3541,c3639,d1929
a4420,b2081,c1036,d3425
a295,b2770,c2369,d2525
a1546,b3489,c105,d87
a548,b1206,c1773,d11
a4568,b230,c4405,d1041
a908,b618,c3872,d4026
a4239,b1669,c2506,d2650
a1765,b573,c4295,d1252
a818,b3077,c227,d1798
a3984,b2970,c300,d2485
a2419,b3305,c1409,d3927
a916,b2419,c4016,d1325
a2945,b2628,c2431,d2916
a1401,b1357,c3978,d1676
a1072,b1295,c3088,d3371
a2578,b2896,c1617,d121
a553,b3499,c973,d4244
a2453,b2407,c2093,d2525
a3031,b2739,c3596,d1111
a3770,b1199,c2550,d3379
a2351,b1969,c3642,d1436
a3061,b2044,c2655,d2322
a694,b1716,c4378,d3127
a1187,b735,c617,d3346
a2354,b3200,c751,d3797
a440,b3084,c3809,d884
a2294,b503,c2180,d4391
a4755,b2190,c4388,d126
a4564,b173,c2956,d1459
a403,b665,c4290,d3037
a1248,b3244,c4466,d510
a4167,b3591,c115,d3692
a4419,b3396,c147,d206
a1750,b3606,c1256,d3100
a4197,b432,c4642,d2979
a4620,b2450,c4595,d2028
a2622,b183,c3093,d3101
a3420,b2854,c3340,d2379
a3651,b2433,c4280,d2165
a1411,b1797,c64,d3280
a46,b2879,c4147,d2806
a302,b991,c4109,d2610
a4489,b2776,c3923,d2935
a235,b3031,c4120,d2673
a66,b2952,c146,d976
a3257,b1642,c3268,d1119
a2918,b3673,c2619,d951
a2486,b1076,c4664,d3653
a3328,b3640,c3648,d4010
a3804,b2617,c4637,d150
a298,b3496,c3522,d4418
a1821,b323,c53,d1829
a1603,b2186,c2943,d1332
a4781,b1855,c207,d2060
a2130,b861,c4717,d1756
a1102,b2963,c4298,d2420
a856,b873,c1283,d3364
a3195,b775,c2303,d1539
a4080,b3123,c1036,d2623
a3310,b1246,c3097,d2052
a1920,b2202,c947,d2465
a2354,b3396,c2241,d2630
a1326,b1084,c3989,d1378
a2255,b239,c2881,d4142
a1380,b304,c3721,d735
a3299,b3068,c4519,d2074
a4014,b2892,c2731,d1077
a150,b1683,c3810,d1074
a4446,b2698,c2996,d2379
a3680,b120,c1903,d3672
a4320,b2578,c965,d3037
a4775,b265,c3862,d3579
a1541,b1344,c3789,d652
a1751,b1996,c4136,d1834
a4257,b544,c3877,d3123
a4803,b3412,c3118,d2379
a2156,b529,c1744,d2475
a2747,b3629,c4589,d1927
a2243,b2844,c1651,d2327
a3899,b921,c2049,d1986
a4147,b2340,c731,d3031
a1832,b3169,c496,d3502
a1263,b2356,c3999,d3238
a4376,b3606,c4185,d1405
a2468,b1537,c2220,d2761
a2834,b198,c2361,d3196
a1142,b2036,c2860,d4224
a482,b715,c1165,d3389
a3453,b2491,c3279,d3086
a1077,b3112,c2246,d1374
a962,b1879,c2170,d3411
a4571,b3397,c4125,d3113
a2974,b1710,c871,d2502
a963,b450,c1550,d3020
a4512,b3038,c1041,d2794
a4079,b805,c3477,d3718
a514,b2600,c1453,d2279
a1239,b2127,c2131,d1563
a1266,b2825,c2058,d3024
a4783,b3187,c3339,d3081
a4124,b755,c897,d1355
a3195,b403,c1196,d4205
a764,b3050,c3740,d564
a4471,b2662,c4305,d4262
a2439,b3370,c3750,d2215
a3772,b865,c3026,d1122
a586,b1197,c72,d2497
a1985,b367,c3492,d1676
a3272,b656,c3928,d4274
a3784,b3393,c1236,d4351
a4589,b3566,c3731,d1789
a188,b209,c3728,d2512
a3646,b1353,c3087,d892
a4149,b2990,c2204,d1375
a2205,b2186,c286,d3888
a1883,b796,c2836,d3468
a458,b1371,c1777,d1411
a165,b483,c4535,d878
a154,b2492,c1376,d273
a456,b655,c4343,d1568
a3322,b1067,c3260,d3582
a243,b1349,c2319,d1226
a4055,b1330,c2981,d2353
a1709,b2038,c3981,d2900
a1814,b2322,c3142,d794
a1276,b1917,c2295,d3634
a1075,b2685,c2171,d3236
a1898,b2993,c931,d290
a4730,b1137,c4320,d3186
a1952,b376,c1612,d3887
a4732,b551,c2275,d494
a3618,b3377,c2378,d898
a1012,b462,c2939,d2348
a1621,b1583,c4742,d2691
a2425,b2735,c1966,d370
a740,b1178,c3363,d3053
a3937,b1450,c1784,d1131
a4574,b1814,c258,d242
a846,b1529,c8,d3741
a4851,b3280,c1964,d2046
a1843,b976,c2871,d2805
a4096,b1194,c1760,d2358
a1475,b3094,c3202,d3237
a3688,b3275,c1842,d1814
a1118,b3133,c3555,d3927
a3796,b1416,c858,d1205
a3157,b1952,c2855,d2960
a3609,b713,c3062,d177
a2268,b3325,c2939,d3241
a1200,b3588,c2169,d2998
a207,b430,c1104,d2738
a1162,b2528,c1197,d2029
a3337,b3377,c3977,d380
a2959,b289,c236,d2337
a3846,b2811,c1364,d3819
a2461,b2206,c2351,d3388
a3519,b3011,c2227,d826
a929,b639,c4300,d3654
a3899,b3772,c4289,d73
a3674,b1132,c2731,d709
a3780,b2707,c990,d1211
a4318,b1383,c167,d2027
a1455,b1879,c2758,d2758
a3507,b1662,c1624,d910
a1418,b1803,c1026,d2447
a944,b3343,c2836,d1984
a1219,b3112,c4035,d265
a1541,b1050,c515,d2656
a3166,b2681,c1022,d1626
a1872,b230,c824,d1697
a1856,b89,c3531,d3862
a4829,b556,c4229,d2096
a1441,b1669,c4477,d2053
a884,b2504,c732,d3922
a2262,b1363,c2587,d3588
a547,b1143,c1354,d600
a2165,b1763,c650,d2659
a477,b685,c128,d3793
a1223,b185,c2087,d1062
a933,b820,c2797,d540
a1520,b3393,c739,d337
a1569,b1497,c902,d679
a1080,b607,c2811,d1835
a2013,b976,c3367,d1759
a33,b197,c3429,d507
a4782,b3359,c4672,d291
a3121,b1277,c820,d2852
a718,b1861,c2333,d3384
a1539,b1538,c1667,d560
a1203,b1827,c2872,d2905
a3500,b1149,c2946,d2878
a1206,b2232,c962,d3374
a308,b2156,c460,d3735
a4300,b750,c416,d3976
a4103,b2994,c3871,d2592
a2766,b2438,c3122,d1613
a2322,b2822,c335,d2895
a241,b2901,c2916,d129
a985,b737,c3120,d1112
a3734,b3022,c1275,d1528
a3779,b1959,c2556,d2032
a3927,b279,c4472,d2768
a4219,b1504,c3576,d839
a401,b376,c3376,d1593
a4751,b2814,c3373,d1386
a4455,b1264,c1814,d4071
a528,b2461,c3949,d2968
a4639,b958,c1087,d2458
a121,b2383,c144,d3042
a3011,b3224,c52,d2635
a4348,b380,c748,d1475
a2271,b612,c4305,d2992
a1142,b853,c404,d3600
a4426,b2478,c438,d973
a3277,b2074,c4053,d2237
a4185,b384,c1920,d2807
a76,b2139,c1648,d145
a1803,b1155,c1379,d2507
a139,b718,c3232,d3284
a3263,b474,c2992,d1427
a2859,b3555,c2420,d3547
a3541,b1553,c2618,d1551
a1740,b299,c1458,d1748
a3912,b920,c3572,d429
a2350,b689,c2512,d490
a4324,b3572,c1995,d1161
a3161,b864,c3349,d3790
a283,b1749,c3525,d907
a2645,b2894,c3567,d4168
a2026,b3123,c3285,d3599
a3482,b589,c554,d3035
a2746,b2070,c164,d3666
a3591,b3461,c1613,d2646
a463,b2260,c2907,d1990
a3362,b2694,c3553,d2590
a2618,b2652,c2485,d2337
a4713,b3298,c4031,d3865
a2898,b3408,c705,d3267
a3583,b3201,c496,d1389
a3076,b487,c3160,d57
a1770,b658,c1709,d3241
a2802,b2568,c479,d1976
a3683,b3180,c2962,d4259
a4061,b2979,c2881,d3447
a936,b1014,c1846,d1777
a2829,b2391,c699,d1220
a417,b2633,c381,d2194
a1423,b575,c252,d3166
a2392,b6,c4663,d3136
a980,b2114,c3294,d2054
a1181,b3521,c4160,d2358
a2787,b2611,c4583,d261
a1003,b3596,c3425,d2166
a1926,b3304,c1186,d934
a1851,b3745,c3194,d445
a2029,b286,c3898,d2591
a3148,b3101,c1603,d2975
a1609,b3775,c3791,d532
a4412,b2496,c849,d2511
a1004,b1335,c205,d2032
a3730,b3354,c3875,d1535
a1850,b341,c4021,d4346
a2561,b1938,c2164,d885
a1750,b3204,c1836,d2066
a2502,b78,c3912,d531
a1922,b1753,c3335,d3635
a2570,b263,c2267,d2035
a4480,b791,c1674,d2150
a688,b1000,c218,d3853
a3762,b1248,c744,d1944
a1087,b2612,c850,d1629
a3958,b623,c3636,d3425
a1445,b392,c3354,d1133
a2832,b2711,c4291,d2948
a1640,b1331,c1780,d978
a2224,b968,c1882,d1564
a1382,b1608,c297,d1507
a1292,b2108,c1949,d4144
a2866,b1272,c4663,d2584
a4724,b1232,c3488,d4029
a693,b1660,c118,d234
a313,b3156,c2987,d1937
a2064,b379,c818,d3386
a507,b3474,c3972,d1161
a1638,b1443,c42,d2653
a4873,b1471,c3122,d663
a1383,b1407,c914,d1712
a4528,b2248,c4523,d2547
a2493,b496,c4355,d1821
a1201,b2444,c3792,d4284
a4589,b1734,c1350,d2703
a4257,b310,c3602,d1294
a3930,b3314,c4027,d3110
a3617,b1926,c130,d3156
a812,b308,c4081,d4303
a262,b3168,c2390,d3763
a2714,b1517,c758,d3712
a1569,b3372,c2846,d2778
a4266,b3396,c2908,d2109
a1287,b2519,c2798,d2070
a2123,b218,c2172,d1038
a3493,b512,c1349,d1726
a2971,b1825,c2625,d830
a1219,b2639,c2152,d749
a1030,b417,c3280,d2059
a4333,b1793,c1079,d2802
a4169,b744,c906,d2293
a2188,b2968,c163,d318
a3849,b1435,c3734,d4019
a3981,b2541,c3613,d545
a1385,b2982,c1002,d70
a2031,b3072,c4532,d3619
a4381,b596,c3315,d4040
a778,b2075,c4294,d3176
a187,b516,c1755,d3009
a2380,b923,c4592,d3915
a204,b3425,c1972,d1785
a4191,b2090,c966,d2356
a1343,b3654,c686,d573
a2027,b2552,c279,d4078
a1902,b3200,c2943,d928
a766,b3228,c12,d2969
a3359,b1355,c30,d4000
a3774,b2764,c2840,d749
a2874,b3666,c4195,d1779
a4647,b2028,c1786,d2571
a3739,b966,c3863,d329
a2414,b3027,c1993,d2871
a4467,b1399,c3903,d3730
a352,b2511,c4359,d3252
a2042,b2658,c897,d458
a4389,b1720,c693,d2059
a3991,b3472,c1664,d4305
a348,b3408,c1933,d377
a1344,b859,c4402,d3877
a3605,b3635,c4686,d348
a2324,b1610,c73,d4219
a3512,b1362,c2973,d3122
a3833,b1920,c3576,d2328
a36,b1190,c2108,d221
a3053,b2303,c1191,d1713
a1258,b3634,c1288,d4234
a4645,b874,c3383,d3939
a1754,b1078,c4771,d2929
a919,b2116,c4068,d1469
a514,b2714,c126,d4256
a4786,b3322,c4670,d523
a2781,b411,c430,d80
a579,b1827,c3109,d1746
a4742,b342,c4280,d1805
a46,b961,c1430,d1781
a4388,b3024,c159,d3358
a3289,b1660,c136,d4169
a1052,b1924,c1906,d2122
a978,b2185,c3330,d573
a979,b2560,c3337,d36
a4867,b1197,c2458,d605
a1522,b1380,c3088,d4218
a986,b1598,c2911,d3374
a3370,b2646,c240,d486
a4219,b764,c2383,d3032
a1312,b1701,c1754,d2936
a3416,b3052,c3092,d838
a1682,b2573,c2064,d2694
a2738,b3389,c3621,d1225
a3868,b1145,c4652,d498
a2916,b1609,c2407,d1616
a2952,b2610,c829,d1275
a4707,b1939,c3808,d1101
a4263,b3144,c3418,d3826
a985,b2060,c4223,d1479
a899,b231,c2494,d3466
a2482,b1740,c4217,d326
a338,b1479,c2077,d274
a2937,b1505,c2326,d1940
a4535,b1549,c1533,d3365
a1911,b1524,c2750,d4034
a3221,b187,c371,d3476
a1545,b1129,c3632,d4072
a1722,b2114,c3588,d4016
a2454,b547,c3704,d365
a4252,b55,c2895,d3316
a840,b1572,c1087,d3726
a2659,b869,c2344,d3446
a3574,b2425,c4186,d893
a135,b3676,c3141,d22
a3440,b259,c2886,d521
a2613,b518,c4421,d4389
a2315,b1593,c3838,d960
a350,b778,c1287,d2212
a425,b2990,c2840,d4185
a996,b2467,c305,d3573
a91,b2270,c3174,d1335
a2423,b2820,c1479,d255
a49,b17,c597,d373
a2784,b278,c2716,d1977
a4508,b3733,c1235,d102
a1363,b959,c2721,d1363
a2444,b2442,c4738,d2425
a1472,b1955,c4748,d3082
a2757,b1690,c2037,d2095
a742,b1741,c3875,d2219
a4203,b2456,c810,d645
a3382,b2411,c2955,d38
a1349,b1419,c2822,d2608
a870,b2379,c3778,d328
a3357,b765,c898,d101
a4301,b445,c1584,d138
a849,b1078,c4548,d1485
a4715,b3013,c2163,d911
a2382,b3382,c4220,d3725
a762,b2286,c3337,d299
a2879,b255,c2549,d4092
a1325,b193,c2544,d2480
a1391,b3032,c1224,d2115
a2323,b44,c3217,d3812
a4247,b584,c310,d2979
a1614,b2826,c4696,d1729
a3314,b1168,c3933,d4154
a459,b3563,c2459,d225
a2904,b714,c959,d1702
a4343,b1727,c4161,d457
a1576,b569,c871,d1668
a1408,b2604,c487,d1886
a995,b300,c2402,d2573
a2504,b767,c2638,d1412
a3360,b1877,c1436,d1356
a3335,b472,c4114,d3722
a4774,b2601,c49,d1382
a2545,b3037,c2431,d4388
a3686,b3153,c311,d1813
a1930,b446,c3695,d2617
a3267,b3125,c1128,d373
a723,b1195,c12,d1705
a3901,b3298,c52,d1897
a4022,b120,c34,d3731
a502,b254,c4067,d935
a507,b857,c1964,d624
a2509,b1795,c1238,d1089
a1323,b414,c458,d129
a3612,b918,c2980,d4377
a585,b1547,c3390,d894
a4873,b2428,c3037,d3859
a3964,b939,c3431,d2267
a3328,b3222,c3065,d2856
a4686,b2538,c1686,d2504
a2632,b400,c775,d173
a3843,b2569,c2384,d2169
a2436,b896,c1130,d3716
a2924,b1064,c1698,d1223
a3357,b3537,c4282,d2154
a69,b3731,c4400,d3884
a3606,b456,c4557,d3312
a1522,b416,c2533,d2136
a4120,b391,c2057,d4040
a675,b740,c1965,d3985
a3866,b2572,c378,d1078
a4654,b3463,c1572,d3045
a1492,b2590,c1497,d1322
a3055,b3632,c4257,d2176
a2655,b748,c1190,d21
a3658,b1572,c331,d2500
a3632,b1228,c4038,d2142
a3352,b2096,c1263,d264
a3330,b2598,c916,d4197
a1079,b3652,c2496,d3322
a3535,b2982,c293,d3773
a745,b78,c2430,d3504
a3471,b2881,c3557,d1814
a3805,b200,c979,d373
a1439,b1075,c1414,d1685
a3131,b653,c2309,d264
a361,b2839,c1028,d1746
a4404,b164,c3848,d1784
a1112,b62,c4671,d1314
a3136,b60,c1347,d3702
a569,b2469,c2614,d2888
a1705,b1356,c4027,d1821
a366,b3610,c828,d3846
a2919,b749,c1227,d3822
a2341,b3394,c2078,d3460
a185,b550,c2210,d2737
a2675,b2382,c3038,d3309
a3525,b1187,c4486,d1938
a4095,b3123,c1,d427
a1711,b330,c1124,d1213
a482,b3519,c2625,d4113
a849,b251,c1163,d2159
a1848,b157,c1082,d3386
a2741,b3591,c4453,d3890
a3435,b1855,c1255,d590
a4553,b1501,c3221,d1923
a1361,b1098,c1926,d1449
a879,b3254,c4754,d1775
a1317,b1946,c2714,d2682
a2006,b2947,c643,d86
a74,b3180,c584,d4150
a3515,b2964,c2229,d2798
a146,b2179,c2546,d1102
a1923,b3077,c3773,d4231
a4467,b1758,c4487,d4429
a2874,b3720,c438,d851
a1116,b771,c3515,d2024
a801,b3327,c1646,d2545
a47,b3572,c4013,d3789
a3870,b1601,c3449,d1196
a2175,b736,c1795,d2541
a344,b3289,c3783,d3621
a1704,b2837,c971,d2853
a3346,b2108,c135,d1690
a2499,b3489,c3302,d3367
a4650,b690,c3490,d2804
a2515,b1710,c4050,d1591
a3355,b1681,c2037,d2903
a4175,b3368,c1956,d1180
a423,b3070,c3137,d3494
a29,b2618,c3902,d41
a227,b3105,c4669,d3952
a730,b722,c709,d955
a1911,b1405,c1956,d1984
a1933,b570,c2431,d3997
a1477,b3381,c3323,d3036
a268,b2220,c3708,d4255
a975,b2382,c1473,d2960
a2365,b1344,c639,d2100
a3046,b2231,c1208,d2102
a2533,b2854,c1470,d3592
a3464,b55,c541,d1775
a3015,b85,c4664,d1245
a2142,b344,c910,d2086
a618,b3525,c2956,d3777
a4338,b1147,c2477,d1434
a535,b2625,c712,d4430
a4726,b1682,c2102,d4237
a589,b475,c2401,d2558
a3555,b2948,c2803,d3613
a540,b1779,c3947,d3507
a4874,b2286,c3515,d3796
a1351,b88,c3105,d418
a2412,b1786,c1733,d2975
a3192,b2983,c1273,d3900
a4265,b2049,c1143,d3322
a2031,b2679,c1904,d3914
a2722,b1002,c712,d71
a565,b1773,c4537,d354
a1812,b3661,c4092,d2072
a1847,b2071,c1796,d1379
a1108,b2911,c3919,d3093
a309,b3031,c2723,d3228
a2732,b889,c2151,d296
a60,b802,c4675,d3361
a1879,b1903,c1965,d2235
a2434,b215,c4318,d2180
a1200,b3760,c3878,d2147
a2017,b1798,c1816,d3412
a4577,b2658,c3008,d2437
